Candidate,Election Status,Status of Candidate,Specific Party,General Party,Election Jurisdiction,Election Year,Election Type,Office Sought,Incumbency Status,# of Records,Total $
"CASTEEN JR, JOHN WESLEY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 007,CHALLENGER,0.00,0.00
"ROUZER, DAVID CHESTON",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 007,INCUMBENT,1200.00,1342302.00
"DANNUNZIO, TIMOTHY BRUCE",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 008,CHALLENGER,25.00,367116.00
"HUDSON JR, RICHARD LANE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 008,INCUMBENT,1607.00,2075852.00
"MILLS, THOMAS MARTIN",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 008,CHALLENGER,770.00,400315.00
"CANO JR, FERNANDO CHRISTIAN",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 009,CHALLENGER,98.00,53422.00
"HARRIS, MARK EVERETTE",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 009,CHALLENGER,177.00,178094.00
"JOHNSON, MATTHEW TODD",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 009,CHALLENGER,127.00,220610.00
"PITTENGER, ROBERT M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 009,INCUMBENT,591.00,1137644.00
"BAKER, JEFFREY RONALD",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,0.00,0.00
"GREGORY, JEFF",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,0.00,0.00
"MCHENRY, PATRICK TIMOTHY",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 010,INCUMBENT,2078.00,3208681.00
"MILLARD, CARL A (ANDY)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,557.00,291835.00
"WILEY JR, ALBERT LEE",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,0.00,0.00
"BRYSON, FREDRICK E (RICK)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 011,CHALLENGER,55.00,45286.00
"HILL, THOMAS WADDELL (TOM)",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 011,OPEN,4.00,4464.00
"MEADOWS, MARK RANDAL",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 011,INCUMBENT,584.00,507290.00
"ADAMS, ALMA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 012,INCUMBENT,948.00,921786.00
"COTHAM, PATRICIA ANN",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 012,CHALLENGER,107.00,120336.00
"CUNNINGHAM, CARLA D",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 012,CHALLENGER,14.00,42878.00
"DUFFIE, RYAN PATRICK",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 012,OPEN,10.00,6585.00
"GRAHAM, MALCOLM R",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 012,CHALLENGER,109.00,101812.00
"HENLEY, GARDENIA MAE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 012,CHALLENGER,13.00,10376.00
"MILLER, DERRICK FLOYD",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 012,CHALLENGER,0.00,0.00
"MOORE, RODNEY WAYNE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 012,CHALLENGER,0.00,0.00
"THREATT, ARCHIE LEON",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 012,CHALLENGER,70.00,41699.00
"WRIGHT, PAUL MICHAEL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 012,OPEN,0.00,0.00
"BARRETT, CHARLES DANIEL (DAN)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,30.00,241402.00
"BLUST, JOHN M",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,49.00,50562.00
"BROCK, ANDREW C",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,34.00,134525.00
"BUDD, THEODORE PAUL",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,443.00,603618.00
"COKER, ADAM WARD",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,8.00,20198.00
"DALY, KAY RYON",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,170.00,182916.00
"DAVIS SR, BRUCE EDWARD",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,204.00,92577.00
"FEATHER, KATHLEEN M",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,1.00,-690.00
"FERGUSON, MAZIE BUTLER",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,0.00,0.00
"GANT, CHAD AARON",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,0.00,0.00
"GRIFFIN, KEVIN DAY",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,10.00,19508.00
"HENNING IV, PAUL HENRY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,86.00,77591.00
"HOWARD, JULIA C",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,65.00,63995.00
"ISNER, ROBERT STUART",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,28.00,19850.00
"MCCALL, MATT",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,51.00,32131.00
"ROBINSON, VERNON L",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,86.00,92883.00
"ROUCO, GEORGE EDWARD",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,77.00,77115.00
"SHOAF, FARREN KENT",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,26.00,15453.00
"SNYDER JR, JAMES EUGENE",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,0.00,0.00
"THOMPSON, DAVID W",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,0.00,0.00
"WALSER, JASON ALBERT",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,93.00,83230.00
"WARREN, HARRY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US HOUSE DISTRICT NC 013,OPEN,47.00,49769.00
"BRANNON, GREGORY J",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US SENATE DISTRICT NC SW-CLASS III,CHALLENGER,423.00,307008.00
"BURR, RICHARD MAUZE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US SENATE DISTRICT NC SW-CLASS III,INCUMBENT,9484.00,12941222.00
"GRIFFIN, KEVIN DAY",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US SENATE DISTRICT NC SW-CLASS III,OPEN,20.00,62890.00
"HAUGH, SEAN NEWTON",LOST-GENERAL,LOST,LIBERTARIAN,THIRD-PARTY,NC,2016,STANDARD,US SENATE DISTRICT NC SW-CLASS III,CHALLENGER,27.00,5893.00
"HOLMQUIST, LARRY HOWARD",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US SENATE DISTRICT NC SW-CLASS III,CHALLENGER,20.00,8935.00
"REEVES, ERNEST TYRONE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US SENATE DISTRICT NC SW-CLASS III,OPEN,0.00,0.00
"REY, CHRISTIA VIRDELLE (CHRIS)",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US SENATE DISTRICT NC SW-CLASS III,OPEN,78.00,47374.00
"ROSS, DEBORAH",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2016,STANDARD,US SENATE DISTRICT NC SW-CLASS III,CHALLENGER,31447.00,13867729.00
"WRIGHT, PAUL MICHAEL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2016,STANDARD,US SENATE DISTRICT NC SW-CLASS III,CHALLENGER,0.00,0.00
