,election_date,party,cd,turnout_rate
119,2010-11-02,DEM,11,0.6541268889935357
120,2018-11-06,REP,12,0.5446085073135997
121,2016-11-08,REP,12,0.7818717759764185
122,2014-11-04,REP,12,0.5263837250087688
123,2012-11-06,REP,12,0.8810237636885789
124,2010-11-02,REP,12,0.5806763464648906
125,2018-11-06,DEM,12,0.5442357201243688
126,2016-11-08,DEM,12,0.743324428227015
127,2014-11-04,DEM,12,0.4954298000338926
128,2012-11-06,DEM,12,0.8813437496317768
129,2010-11-02,DEM,12,0.4962845942308817
130,2018-11-06,REP,13,0.6628452227053708
131,2016-11-08,REP,13,0.8620900971380142
132,2014-11-04,REP,13,0.6358264879665658
133,2012-11-06,REP,13,0.9105939291572605
134,2010-11-02,REP,13,0.6460645629307218
135,2018-11-06,DEM,13,0.5814042528126289
136,2016-11-08,DEM,13,0.7899675778263964
137,2014-11-04,DEM,13,0.5678630573498363
138,2012-11-06,DEM,13,0.9006003212987232
139,2010-11-02,DEM,13,0.5406698564593302
